45,zp31l0236ms0703,4U CC GRR,493635,Maintenance,GDC,Loganville - GRR,Travertine Falls,Grand Ridge,TBD
46,zp31l0236ms0704,4U CC GRR,493636,Maintenance,GDC,Loganville - GRR,Travertine Falls,Grand Ridge,TBD
47,zp31l0236ms0705,4U CC GRR,493637,Maintenance,GDC,Loganville - GRR,Travertine Falls,Grand Ridge,TBD
48,zp31l0236ms0706,4U CC GRR,493638,Maintenance,GDC,Loganville - GRR,Travertine Falls,Grand Ridge,TBD
49,zp31l0236ms0707,4U CC GRR,493639,Maintenance,GDC,Loganville - GRR,Travertine Falls,Grand Ridge,TBD
50,zp31l0236ms0801,4U CC GRR,493640,Maintenance,GDC,Loganville - GRR,Travertine Falls,Grand Ridge,TBD
51,zp31l0232ms0701,4U CC Whitley,1516,Online,GDC,Whitley,Wilson City,Ice Lake,Server Security Technology
52,zp31l0232ms0702,4U CC Whitley,1587,Online,GDC,Whitley,Wilson City,Ice Lake,PAIV
53,zp31l0232ms0703,4U CC Whitley,1258,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
54,zp31l0232ms0704,4U CC Whitley,1519,Online,GDC,Whitley,Wilson City,Ice Lake,SSE
55,zp31l0232ms0705,4U CC Whitley,1520,Online,GDC,Whitley,Wilson City,Ice Lake,NPG
56,zp31l0232ms0801,4U CC Whitley,1260,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
57,zp31l0232ms0802,4U CC Whitley,1512,Online,GDC,Whitley,Wilson City,Ice Lake,TBD
58,zp31l0232ms0803,4U CC Whitley,1513,Online,GDC,Whitley,Wilson City,Ice Lake,FID
59,zp31l0232ms0804,4U CC Whitley,1514,Online,GDC,Whitley,Wilson City,Ice Lake,DSSA
60,zp31l0232ms0805,4U CC Whitley,1515,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
61,zp31l0232ms0901,4U CC Whitley,1494,Online,GDC,Whitley,Wilson City,Ice Lake,PSD
62,zp31l0232ms0902,4U CC Whitley,1495,Online,GDC,Whitley,Wilson City,Ice Lake,NPG
63,zp31l0232ms0903,4U CC Whitley,1496,Online,GDC,Whitley,Wilson City,Ice Lake,PAIV
64,zp31l0232ms0904,4U CC Whitley,1497,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
65,zp31l0232ms0905,4U CC Whitley,1583,Online,GDC,Whitley,Wilson City,Ice Lake,PAIV
66,zp31l0232ms1001,4U CC Whitley,1489,Online,GDC,Whitley,Wilson City,Ice Lake,ICX IPU
67,zp31l0232ms1002,4U CC Whitley,1490,Online,GDC,Whitley,Wilson City,Ice Lake,Seamless
68,zp31l0232ms1003,4U CC Whitley,1491,Online,GDC,Whitley,Wilson City,Ice Lake,GOLDEN RASP support
